age,live,through,sex,domain,transportation,most_app,likes,voice
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",5,이제훈
25,가족과 함께 살고 있음,지인 소개,남,직장인,지하철,"날씨, 미세먼지, 뉴스",1,없음
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,인간극장 성우분 
21.5,원룸,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",3,낮은 음역대의 목소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,이동수단에 대한 정보,4,배우
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,이동수단에 대한 정보,5,전자여성
25,가족과 함께 살고 있음,에브리타임,남,직장인,지하철,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",5,"좋아하는 가수 (아이유, 벤) , 커플일 경우 연인 상대(?)"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 미세먼지, 코로나 관련 소식 및 확진자 수",5,배우 - 박보영
21.5,가족과 함께 살고 있음,지인 소개,남,학생,버스,"날씨, 주식 및 비트코인",2,레드벨벳 조이
21.5,원룸,에브리타임,여,학생,지하철,"날씨, 뉴스, 이동수단에 대한 정보",2,듣기 좋은 목소리
25,가족과 함께 살고 있음,지인 소개,여,직장인,버스,"날씨, 미세먼지, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,박서준이 모닝콜 해줬으면 좋겠어요....
25,가족과 함께 살고 있음,지인 소개,여,무직,지하철,"날씨, 이동수단에 대한 정보",3,없음
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",4,아이유
31.5,아파트,지인 소개,여,자영업자,지하철,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",4,"좋아하는 배우, 돌아가신 부모님"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 주식 및 비트코인, 이동수단에 대한 정보, 토스",5,부자연스럽지 않고 자연스러운 음성
21.5,원룸,에브리타임,여,학생,도보,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수",4,좋아하는 연예인 이면? 좋을것 같아요 나만 그런건가..?
28,가족과 함께 살고 있음,지인 소개,남,직장인,지하철,"날씨, 미세먼지, 주식 및 비트코인, 이동수단에 대한 정보",4,매력적인 이성의 목소리
21.5,빌라,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",4,하정우
21.5,원룸,에브리타임,여,학생,지하철,날씨,5,시리처럼 다정하면서도 딱딱한 소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",4,트위치 음성 도네이션 목소리
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"축구, 인터넷방송",5,제 여자친구요
21.5,기숙사,에브리타임,여,학생,도보,"날씨, 코로나 관련 소식 및 확진자 수",4,
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"날씨, 이동수단에 대한 정보",3,성우/가수/배우
21.5,가족과 함께 살고 있음,지인 소개,남,학생,버스,SNS,3,김선률 목소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,도보,"코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,
21.5,원룸,에브리타임,여,학생,버스,"날씨, 이동수단에 대한 정보",2,잔잔하고 담백한 배우보이스
21.5,가족과 함께 살고 있음,SNS,남,학생,버스,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,"오마이걸 효정><, 아나운서"
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",4,
21.5,가족과 함께 살고 있음,SNS,남,군인,도보,"주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수",3,퉁퉁이 목소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,날씨,3,
28,주택,단체카톡방 또는 오픈채팅방 링크,남,자영업자,도보,"날씨, 주식 및 비트코인, 뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,없습니다
21.5,원룸,에브리타임,여,학생,지하철,"날씨, 이동수단에 대한 정보",2,
21.5,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 뉴스, 이동수단에 대한 정보",4,발음이 정확하고 대다수에게 호불호 없는 목소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,자동차,"날씨, 미세먼지, 이동수단에 대한 정보",4,딱히 없습니다!
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",3,
25,원룸,에브리타임,남,학생,지하철,"주식 및 비트코인, 뉴스, 이동수단에 대한 정보",2,아이유가 친구처럼 말해주면 좋을 것 같다
28,가족과 함께 살고 있음,지인 소개,남,직장인,지하철,뉴스,3,
28,가족과 함께 살고 있음,지인 소개,여,직장인,버스,"날씨, 주식 및 비트코인, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",4,이석훈(가수)
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",5,가수
28,빌라,지인 소개,남,학생,버스,"날씨, 미세먼지, 주식 및 비트코인, 뉴스",2,
28,가족과 함께 살고 있음,지인 소개,여,학생,버스,"날씨, 이동수단에 대한 정보",4,배우 혹은 가수
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 주식 및 비트코인, 뉴스",4,친절하고 거부감 없는 목소리(카카오 인공지능 성우분 목소리)
21.5,가족과 함께 살고 있음,에브리타임,남,학생,버스,"뉴스, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,아버지
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,패션,3,최준 목소리
21.5,가족과 함께 살고 있음,에브리타임,여,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",5,시리같은 기계적인 목소리는 피하고싶다 
21.5,가족과 함께 살고 있음,에브리타임,여,학생,버스,"날씨, 코로나 관련 소식 및 확진자 수, 이동수단에 대한 정보",3,좋아하는 가수
21.5,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 이동수단에 대한 정보",1,여자친구 은하
25,가족과 함께 살고 있음,에브리타임,남,학생,지하철,"날씨, 미세먼지, 뉴스, 이동수단에 대한 정보",5,
25,가족과 함께 살고 있음,에브리타임,여,학생,지하철,이동수단에 대한 정보,1,에릭남 
35,가족과 함께 살고 있음,단체카톡방 또는 오픈채팅방 링크,남,직장인,지하철,"날씨, 뉴스, 이동수단에 대한 정보",2,예쁜배우
28,가족과 함께 살고 있음,지인 소개,남,무직,지하철,"날씨, 주식 및 비트코인, 뉴스",4,가수
31.5,원룸,지인 소개,남,직장인,도보,"날씨, 뉴스, 이동수단에 대한 정보",5,여자목소리
31.5,가족과 함께 살고 있음,지인 소개,남,직장인,자동차,"날씨, 뉴스, 유튜브",5,서유리씨요
31.5,원룸,지인 소개,남,직장인,지하철,"날씨, 주식 및 비트코인, 이동수단에 대한 정보",1,
25,원룸,단체카톡방 또는 오픈채팅방 링크,여,직장인,도보,"날씨, 주식 및 비트코인",4,없음
31.5,빌라,지인 소개,남,직장인,지하철,"날씨, 주식 및 비트코인, 뉴스, 이동수단에 대한 정보",3,없음
25,가족과 함께 살고 있음,지인 소개,남,학생,버스,"날씨, 뉴스, 코로나 관련 소식 및 확진자 수",3,연우~!
28,가족과 함께 살고 있음,지인 소개,남,무직,지하철,"날씨, 주식 및 비트코인",4,가수 
